"Step","Exp19 - ablation FFN parity - D512 ([1024 x 2 = 2048] x 4) - val/perplexity","Exp19 - ablation FFN parity - D512 ([1024 x 2 = 2048] x 4) - val/perplexity__MIN","Exp19 - ablation FFN parity - D512 ([1024 x 2 = 2048] x 4) - val/perplexity__MAX"
"1581","32.47494113727571","32.47494113727571","32.47494113727571"
"3162","19.165753221675935","19.165753221675935","19.165753221675935"
"4743","16.58657693697683","16.58657693697683","16.58657693697683"
"6324","15.460389702669161","15.460389702669161","15.460389702669161"
"7905","15.340075995482293","15.340075995482293","15.340075995482293"
"9486","15.10225016094451","15.10225016094451","15.10225016094451"
"11067","14.580536166314408","14.580536166314408","14.580536166314408"
"12648","14.4106677747075","14.4106677747075","14.4106677747075"
"14229","14.187251079068192","14.187251079068192","14.187251079068192"
"15810","14.131940228876227","14.131940228876227","14.131940228876227"
"17391","14.131940228876227","14.131940228876227","14.131940228876227"