layer,expert_id,tokens
blocks.0.ff_or_moe,0,"type, keeping, those, Hard, Walter, giving, low, ful, —, cast"
blocks.0.ff_or_moe,1,"with, May, against, March, February, June, April, July, December, January"
blocks.0.ff_or_moe,2,"average, surface, King, students, Army, U, Horn, sides, team, crew"
blocks.0.ff_or_moe,3,"of, De, Of, P, St, the, at, S, /, –"
blocks.0.ff_or_moe,4,"its, par, Its, Con, mal, Tr, Dis, Mel, Mon, Ac"
blocks.0.ff_or_moe,5,"(, ("", ($, —, ""(, ren, ,, [, It, (£"
blocks.0.ff_or_moe,6,"other, new, old, ant, s, older, former, young, small, others"
blocks.0.ff_or_moe,7,"work, Pass, Ham, fact, T, act, action, playing, J, No"
blocks.0.ff_or_moe,8,"[, end, s, left, not, ..., ], r, mph, our"
blocks.0.ff_or_moe,9,"l, Bur, West, retain, K, Cr, ay, Northern, een, Wor"
blocks.0.ff_or_moe,10,"to, To, for, towards, in, than, of, against, as, into"
blocks.0.ff_or_moe,11,"western, eastern, IV, southern, II, northern, III, southeastern, cross, northwestern"
blocks.0.ff_or_moe,12,"I, II, one, man, Long, One, side, III, mes, IV"
blocks.0.ff_or_moe,13,":, word, received, help, negative, positive, two, house, ;, changes"
blocks.0.ff_or_moe,14,""", “, ""..., ""[, ""', ], The, D, L, ""("
blocks.0.ff_or_moe,15,"and, ,, to, in, /, as, (, was, of, is"
blocks.0.ff_or_moe,16,"off, —, named, under, near, son, just, name, because, due"
blocks.0.ff_or_moe,17,"Queen, suit, subject, Med, what, woman, un, ush, Garden, Dow"
blocks.0.ff_or_moe,18,"young, Par, winter, local, Joseph, mass, National, additional, Ar, summer"
blocks.0.ff_or_moe,19,"ap, higher, pay, lower, ter, paid, poll, account, per, amp"
blocks.0.ff_or_moe,20,"years, months, weeks, later, then, year, decades, decade, leading, earlier"
blocks.0.ff_or_moe,21,"her, ill, herself, organ, ills, without, Eleanor, she, prime, suffering"
blocks.0.ff_or_moe,22,"led, contributed, headed, leads, i, captain, leader, fed, ow, leading"
blocks.0.ff_or_moe,23,"up, ups, Up, upon, aside, Me, down, Dev, On, Pri"
blocks.0.ff_or_moe,24,"more, much, similar, impressed, better, enough, compared, closely, Cel, thanks"
blocks.0.ff_or_moe,25,"ally, ively, ently, ive, ously, 65, ably, 66, 60, ually"
blocks.0.ff_or_moe,26,"being, gun, ad, having, making, Sh, sent, be, becoming, En"
blocks.0.ff_or_moe,27,"is, low, W, are, has, high, was, M, P, a"
blocks.0.ff_or_moe,28,"G, F, der, g, Ch, South, line, Gu, W, En"
blocks.0.ff_or_moe,29,"held, carried, taken, bl, there, placed, br, holding, hold, picked"
blocks.0.ff_or_moe,30,"al, ak, als, of, ik, ars, free, Saint, ib, counter"
blocks.0.ff_or_moe,31,"m, American, min, ;, ., K, me, metres, meters, mar"
blocks.0.ff_or_moe,32,"p, sp, St, key, pet, break, Sk, sign, name, rain"
blocks.0.ff_or_moe,33,"run, part, half, portion, play, stand, follow, drive, 28, The"
blocks.0.ff_or_moe,34,"less, until, A, One, longer, but, At, more, poor, Ma"
blocks.0.ff_or_moe,35,"was, were, same, became, also, reported, came, is, originally, eventually"
blocks.0.ff_or_moe,36,"er, o, Man, ov, Angel, Star, Gu, ers, ion, ary"
blocks.0.ff_or_moe,37,"gy, ster, ile, responsible, cy, supporting, ste, gan, ger, gos"
blocks.0.ff_or_moe,38,"80, 50, 40, 36, 30, 100, 90, 25, 32, 70"
blocks.0.ff_or_moe,39,"Columbus, une, safely, ace, producing, catcher, Mariners, Forbes, ake, Roosevelt"
blocks.0.ff_or_moe,40,"el, De, rap, inter, em, ric, Fre, mo, ve, sc"
blocks.0.ff_or_moe,41,"by, into, toward, towards, using, through, within, onto, than, rig"
blocks.0.ff_or_moe,42,"film, game, book, games, movie, novel, films, books, ure, novels"
blocks.0.ff_or_moe,43,"mix, group, form, meeting, class, pattern, pair, area, sets, model"
blocks.0.ff_or_moe,44,"the, a, The, his, in, two, "", three, an, one"
blocks.0.ff_or_moe,45,"%, Central, if, percent, berries, ieu, ile, boards, Pil, Northern"
blocks.0.ff_or_moe,46,"1, 2, 11, 7, 9, 3, 19, 13, 14, 23"
blocks.0.ff_or_moe,47,"cy, confident, Bros, ank, Inc, aff, ld, val, established, dor"
blocks.0.ff_or_moe,48,"', ’, men, As, characters, members, fans, works, writers, A"
blocks.0.ff_or_moe,49,"modern, present, normal, current, traditional, original, typical, per, true, human"
blocks.0.ff_or_moe,50,"opened, built, performed, constructed, conducted, launched, premiered, created, debuted, erected"
blocks.0.ff_or_moe,51,"last, rarely, option, moderate, spor, Sust, largest, barely, occasionally, strongest"
blocks.0.ff_or_moe,52,"forcing, forced, causing, caused, sees, ging, causes, facing, requiring, perce"
blocks.0.ff_or_moe,53,"it, an, It, what, they, them, he, aircraft, runs, late"
blocks.0.ff_or_moe,54,"most, ninth, back, seventh, worst, sixth, coming, eighth, went, backs"
blocks.0.ff_or_moe,55,"but, together, However, despite, along, mostly, apart, Nevertheless, albeit, though"
blocks.0.ff_or_moe,56,"This, this, changed, passed, change, formed, increased, broken, developed, growth"
blocks.0.ff_or_moe,57,"1986, 1987, 1984, 2012, 1988, 1985, 1979, Bear, 2001, 1982"
blocks.0.ff_or_moe,58,"Henry, Edward, Peter, Scott, Robert, Richard, David, mar, James, ice"
blocks.0.ff_or_moe,59,"s, down, them, downs, themselves, ical, himself, ically, overall, Eve"
blocks.0.ff_or_moe,60,"ar, r, air, op, ab, ram, make, ac, Rep, Ag"
blocks.0.ff_or_moe,61,"all, at, anti, re, near, non, around, en, real, both"
blocks.0.ff_or_moe,62,"number, top, amount, rate, out, numbers, size, speed, maximum, total"
blocks.0.ff_or_moe,63,"be, use, le, see, Court, ce, court, get, Council, les"
blocks.0.ff_or_moe,64,"would, could, should, om, might, may, did, cannot, does, og"
blocks.0.ff_or_moe,65,"ry, red, When, ding, yellow, ries, Smith, oil, issues, Col"
blocks.0.ff_or_moe,66,"ac, net, et, rot, ay, ath, ne, c, is, ad"
blocks.0.ff_or_moe,67,"over, across, around, throughout, sub, Over, during, above, nearly, below"
blocks.0.ff_or_moe,68,"re, mes, win, —, semi, –, ff, /, ov, 1"
blocks.0.ff_or_moe,69,"are, were, can, episode, shell, series, century, Doctor, begins, centuries"
blocks.0.ff_or_moe,70,"h, Sh, ings, ight, fl, we, if, Smith, cl, ann"
blocks.0.ff_or_moe,71,"time, ent, ens, period, os, iers, border, term, ives, waters"
blocks.0.ff_or_moe,72,"after, before, following, prior, After, afterwards, shortly, immediately, thereafter, afterward"
blocks.0.ff_or_moe,73,"k, st, such, ag, known, ka, n, active, va, gen"
blocks.0.ff_or_moe,74,"salam, eagles, Stewart, Lopez, monkey, Robertson, carc, knights, Panthers, frogs"
blocks.0.ff_or_moe,75,"became, becoming, ly, appeared, brought, Germany, Japan, Also, ar, ?"
blocks.0.ff_or_moe,76,"few, ting, both, Both, ten, between, neither, ts, many, none"
blocks.0.ff_or_moe,77,"map, key, bridge, hall, leaf, garden, pole, threatening, council, borough"
blocks.0.ff_or_moe,78,"cover, ised, complete, ious, host, secondary, ized, sm, Us, start"
blocks.0.ff_or_moe,79,"10, three, half, out, all, ex, material, Mol, House, nothing"
blocks.0.ff_or_moe,80,"been, re, back, no, to, ., be, mis, 8, not"
blocks.0.ff_or_moe,81,"ol, et, act, ah, il, if, og, ath, oph, band"
blocks.0.ff_or_moe,82,"life, development, appearance, creation, command, performance, lives, existence, release, acceptance"
blocks.0.ff_or_moe,83,"land, water, production, ash, oil, lands, rain, time, record, silver"
blocks.0.ff_or_moe,84,"or, story, art, material, may, background, school, itself, service, fiction"
blocks.0.ff_or_moe,85,"song, US, track, Paul, Tom, John, Pa, character, Martin, $"
blocks.0.ff_or_moe,86,"/, &, rad, exit, vice, But, events, Cent, Pl, iac"
blocks.0.ff_or_moe,87,"radio, show, club, political, public, state, medical, media, life, news"
blocks.0.ff_or_moe,88,"sing, ip, ping, aring, Division, feature, ',, '., grades, iting"
blocks.0.ff_or_moe,89,"considered, called, thought, found, believed, deemed, regarded, making, become, made"
blocks.0.ff_or_moe,90,"Car, Cor, R, ne, Su, Sub, S, Ter, Hy, only"
blocks.0.ff_or_moe,91,"that, as, on, which, who, when, how, for, whether, where"
blocks.0.ff_or_moe,92,"do, Do, London, fully, International, San, ved, Con, public, Douglas"
blocks.0.ff_or_moe,93,"while, whilst, although, though, whereas, ;, before, While, despite, "";"
blocks.0.ff_or_moe,94,"place, served, serve, behind, serving, places, space, existence, alongside, living"
blocks.0.ff_or_moe,95,"t, win, mat, ti, re, mi, ir, winning, sh, less"
blocks.0.ff_or_moe,96,"like, likes, Village, ium, establishment, Greek, Gran, Morton, At, Anton"
blocks.0.ff_or_moe,97,"from, among, From, between, within, amongst, throughout, across, outside, beyond"
blocks.0.ff_or_moe,98,"artillery, consulting, car, opa, farm, medicine, restoration, capt, health, wheel"
blocks.0.ff_or_moe,99,"have, gave, style, give, family, giving, take, has, a, took"
blocks.0.ff_or_moe,100,"ship, El, squadron, species, government, vessel, ships, territory, HMS, cyclone"
blocks.0.ff_or_moe,101,"es, e, fell, Fl, ed, ese, ides, appear, appears, ir"
blocks.0.ff_or_moe,102,"y, able, continued, house, hard, Mud, yan, began, trying, happy"
blocks.0.ff_or_moe,103,"point, where, pressure, title, video, points, logical, 140, fighting, ysis"
blocks.0.ff_or_moe,104,"field, road, ball, fields, bat, pitch, pass, balls, no, terrain"
blocks.0.ff_or_moe,105,"ly, home, med, ped, oted, decided, glass, college, agar, Veronica"
blocks.0.ff_or_moe,106,"tell, del, tells, que, tribe, des, ob, any, os, aux"
blocks.0.ff_or_moe,107,"Italian, Ter, Norwegian, overt, ieri, Jane, Ant, Fer, Ace, convert"
blocks.0.ff_or_moe,108,"intersection, junction, interchange, problems, relationship, problem, battle, impressed, correspondence, encounter"
blocks.0.ff_or_moe,109,"in, for, In, on, at, of, from, ,, to, during"
blocks.0.ff_or_moe,110,"action, role, ability, actions, crime, ence, mini, scene, ality, roles"
blocks.0.ff_or_moe,111,"us, en, am, Australian, ci, um, Car, ar, di, ham"
blocks.0.ff_or_moe,112,"hit, released, single, attack, fired, hits, issued, struck, attacked, attacks"
blocks.0.ff_or_moe,113,"a, an, another, which, the, one, it, very, part, two"
blocks.0.ff_or_moe,114,"-, ic, –, D, ‑, ian, ial, Ch, war, and"
blocks.0.ff_or_moe,115,"power, line, lines, individual, range, support, save, train, control, response"
blocks.0.ff_or_moe,116,",, but, and, while, however, who, he, as, with, although"
blocks.0.ff_or_moe,117,"stone, white, black, female, covered, blood, powder, Stone, light, male"
blocks.0.ff_or_moe,118,"high, long, wide, general, strong, High, summer, form, set, 13"
blocks.0.ff_or_moe,119,"Un, Re, previous, St, P, V, Van, qu, Qu, Be"
blocks.0.ff_or_moe,120,"., ."", ""., )., ;, ,, In, '., :, ("
blocks.0.ff_or_moe,121,"album, include, 40, Sk, 400, 80, 50, 500, oth, stone"
blocks.0.ff_or_moe,122,"west, east, north, south, u, French, B, southwest, southeast, northwest"
blocks.0.ff_or_moe,123,"Greek, z, (, The, the, D, justice, days, French, R"
blocks.0.ff_or_moe,124,"id, "",, He, ), ""., ""), ids, ""),, ,"", ),"
blocks.0.ff_or_moe,125,"match, ed, ous, med, building, fit, rock, repair, lat, further"
blocks.0.ff_or_moe,126,"ing, ed, ating, ising, izing, cting, ding, ying, uring, ation"
blocks.0.ff_or_moe,127,"E, their, on, own, his, its, Their, other, same, her"
blocks.1.ff_or_moe,0,"odd, fighters, HM, MI, cells, land, Os, EST, Sun, aircraft"
blocks.1.ff_or_moe,1,"Des, William, newly, highly, Andrew, Most, overall, members, Ga, other"
blocks.1.ff_or_moe,2,"H, Wild, atch, Any, Da, Hay, ance, K, 8, tear"
blocks.1.ff_or_moe,3,"area, SA, ed, aw, al, em, sh, conduct, Gran, ally"
blocks.1.ff_or_moe,4,"again, completed, removed, Prince, asked, made, complete, stop, point, finally"
blocks.1.ff_or_moe,5,"year, you, ton, ac, too, star, character, based, inch, so"
blocks.1.ff_or_moe,6,"new, time, first, second, power, again, entire, was, continued, whole"
blocks.1.ff_or_moe,7,"1, 11, 25, 20, 10, 30, (, 12, 8, ch"
blocks.1.ff_or_moe,8,"), ),, —, across, onto, wide, )., closer, above, nett"
blocks.1.ff_or_moe,9,"red, attempt, heart, ging, ae, own, [, North, order, rub"
blocks.1.ff_or_moe,10,"ude, 1990, Reverend, Master, ero, Stri, Dana, Gustav, 273, fan"
blocks.1.ff_or_moe,11,"named, ata, both, May, all, ken, ran, count, with, ing"
blocks.1.ff_or_moe,12,"tur, 360, band, gal, necessary, ated, transition, distance, 21st, cor"
blocks.1.ff_or_moe,13,"fit, action, en, taken, im, beginning, mixed, Western, cut, real"
blocks.1.ff_or_moe,14,"miss, downtown, af, its, ing, ut, open, And, past, tied"
blocks.1.ff_or_moe,15,"bu, How, collected, sentence, Italian, ata, ès, load, anonymous, Hendrix"
blocks.1.ff_or_moe,16,"music, specific, type, suit, cricket, metal, race, Lewis, She, esque"
blocks.1.ff_or_moe,17,"focus, bin, der, focused, Sw, directed, gained, Din, concentrated, focusing"
blocks.1.ff_or_moe,18,"way, they, "", past, through, after, she, he, because, ""["
blocks.1.ff_or_moe,19,"students, ones, aircraft, 20th, cane, ("", test, older, part, next"
blocks.1.ff_or_moe,20,"consisting, number, of, composed, consists, confused, responsible, orn, consisted, critical"
blocks.1.ff_or_moe,21,"s, side, way, Press, company, :, Mer, dropped, club, icated"
blocks.1.ff_or_moe,22,"Born, You, creating, Here, Mot, fit, Now, ile, Coming, actor"
blocks.1.ff_or_moe,23,"of, Of, its, f, s, ins, war, their, building, z"
blocks.1.ff_or_moe,24,"least, once, issue, times, first, will, number, various, present, large"
blocks.1.ff_or_moe,25,"lives, Ann, s, life, Pri, Fre, Le, Alice, Don, next"
blocks.1.ff_or_moe,26,"whether, how, SS, its, why, what, him, me, their, his"
blocks.1.ff_or_moe,27,"advance, response, particular, relation, person, order, addition, February, which, case"
blocks.1.ff_or_moe,28,"become, ax, inf, became, increasingly, ana, ett, ery, I, imm"
blocks.1.ff_or_moe,29,"Center, Storm, Jackson, Bush, Barbara, Committee, Dor, conditions, quito, Lee"
blocks.1.ff_or_moe,30,"San, La, into, T, Al, script, F, U, Game, Mo"
blocks.1.ff_or_moe,31,"March, 00, 50, December, %, January, 30, August, 9, 8th"
blocks.1.ff_or_moe,32,"sides, sexes, ends, our, domestic, dealing, lungs, ors, shot, throat"
blocks.1.ff_or_moe,33,"cur, cal, poly, pol, inf, oren, tropical, ph, oper, Ass"
blocks.1.ff_or_moe,34,"who, directly, which, final, 13th, through, night, ½, each, person"
blocks.1.ff_or_moe,35,"Greek, continuing, yellow, variety, Ph, fresh, split, Herman, worldwide, successful"
blocks.1.ff_or_moe,36,"selling, lose, lo, be, performing, not, produce, ician, Am, begin"
blocks.1.ff_or_moe,37,"training, energy, education, base, power, radio, pre, media, con, ag"
blocks.1.ff_or_moe,38,"important, natural, commonly, Lafayette, Paris, ten, realistic, limited, restricted, officially"
blocks.1.ff_or_moe,39,"Gang, vo, Ge, Marquette, X, ala, pun, Bl, Storm, Ju"
blocks.1.ff_or_moe,40,"see, aka, renamed, Greek, specifically, formerly, outer, ids, McN, usually"
blocks.1.ff_or_moe,41,"nature, related, type, also, received, after, fact, —, common, due"
blocks.1.ff_or_moe,42,"s, d, ming, ing, t, n, sat, D, em, ve"
blocks.1.ff_or_moe,43,"aka, uma, X, acher, ell, famous, patriarch, z, plantations, ception"
blocks.1.ff_or_moe,44,"May, stay, just, heavy, briefly, April, ed, one, parts, for"
blocks.1.ff_or_moe,45,"choice, all, what, the, will, of, their, her, any, life"
blocks.1.ff_or_moe,46,"However, This, During, The, When, After, Although, It, In, According"
blocks.1.ff_or_moe,47,"full, great, major, New, small, very, track, non, single, more"
blocks.1.ff_or_moe,48,"se, drive, made, si, laid, Battle, pa, -, took, start"
blocks.1.ff_or_moe,49,"We, E, an, a, art, among, being, D, memory, No"
blocks.1.ff_or_moe,50,"John, family, 60, Mark, four, three, seven, six, Michael, long"
blocks.1.ff_or_moe,51,"been, actually, already, once, thus, also, now, indeed, become, bi"
blocks.1.ff_or_moe,52,"or, ti, to, at, B, ', and, ,, v, sub"
blocks.1.ff_or_moe,53,"media, public, military, national, legal, popular, pro, Grand, Independent, author"
blocks.1.ff_or_moe,54,"Youth, Wars, soft, strike, Space, esque, Olympics, memor, tight, &"
blocks.1.ff_or_moe,55,"use, than, combined, mis, ber, compared, development, bi, classified, earned"
blocks.1.ff_or_moe,56,"every, Arm, surviving, seeing, retirement, iles, arriving, fant, learning, reviewing"
blocks.1.ff_or_moe,57,"service, session, sessions, event, process, chamber, cast, solid, ground, cur"
blocks.1.ff_or_moe,58,"he, was, they, eventually, is, she, made, became, then, would"
blocks.1.ff_or_moe,59,"Public, An, Ac, Island, Park, County, Car, residents, Central, Road"
blocks.1.ff_or_moe,60,"-, high, highest, cross, school, enough, minimum, higher, standing, local"
blocks.1.ff_or_moe,61,"to, against, so, 40, during, near, ., design, At, construction"
blocks.1.ff_or_moe,62,"Dis, season, final, summer, year, Port, start, earth, Sel, Card"
blocks.1.ff_or_moe,63,"considered, known, developed, established, noted, regarded, used, described, supported, hom"
blocks.1.ff_or_moe,64,"ga, hit, ised, Solo, London, descent, exposure, route, single, catalog"
blocks.1.ff_or_moe,65,"pol, overall, praise, Rough, Murphy, publication, positive, establishment, wave, assembly"
blocks.1.ff_or_moe,66,"by, prior, to, with, here, mainly, adjacent, new, during, thanks"
blocks.1.ff_or_moe,67,"bridge, tran, ding, ible, ton, berger, area, beginning, provisions, items"
blocks.1.ff_or_moe,68,"wood, ality, ard, Young, Gr, extension, inian, Rogers, most, Smith"
blocks.1.ff_or_moe,69,"latter, birth, ability, First, Dis, adverse, relatively, working, recently, same"
blocks.1.ff_or_moe,70,"o, Can, 3, ros, Pro, ab, roy, Fourth, wood, 5"
blocks.1.ff_or_moe,71,"Eng, ll, bus, mb, analysts, Em, mar, th, ase, yst"
blocks.1.ff_or_moe,72,"break, ping, ac, average, breaks, ending, evening, chart, finale, ings"
blocks.1.ff_or_moe,73,"too, had, both, them, him, She, He, would, himself, ction"
blocks.1.ff_or_moe,74,"per, leading, lie, labor, driving, managed, led, ago, ble, help"
blocks.1.ff_or_moe,75,"whom, ays, example, little, ease, ks, instance, ums, regards, minimal"
blocks.1.ff_or_moe,76,"considered, given, said, held, expected, kept, brought, regarded, found, particularly"
blocks.1.ff_or_moe,77,"who, population, whose, died, still, sitting, self, Khan, whom, Dean"
blocks.1.ff_or_moe,78,"than, whether, once, Michael, usual, David, ever, John, anything, Jim"
blocks.1.ff_or_moe,79,"not, box, list, originally, initially, season, eng, "", forced, intended"
blocks.1.ff_or_moe,80,"non, O, sc, six, 18, inter, bi, main, members, four"
blocks.1.ff_or_moe,81,"also, ge, she, ci, contract, park, els, wanted, -, /"
blocks.1.ff_or_moe,82,"Ne, T, ge, m, but, -, ay, ve, also, of"
blocks.1.ff_or_moe,83,"L, ot, their, my, Doctor, Union, sted, Rose, eland, mass"
blocks.1.ff_or_moe,84,"na, ante, original, ative, ential, ians, ant, ation, ina, Sor"
blocks.1.ff_or_moe,85,"others, possibly, therefore, subsequently, consequently, above, eventually, ultimately, larger, later"
blocks.1.ff_or_moe,86,"handed, US, sort, f, known, moves, stage, advanced, possible, king"
blocks.1.ff_or_moe,87,"gone, ty, pos, ground, acious, tor, plains, ou, hearing, stat"
blocks.1.ff_or_moe,88,"r, later, an, joined, ad, Ram, hy, ir, An, ri"
blocks.1.ff_or_moe,89,"much, heavily, ics, greatly, became, back, so, ak, accepted, aze"
blocks.1.ff_or_moe,90,"plan, du, sum, c, vol, col, et, solid, country, tor"
blocks.1.ff_or_moe,91,"S, Don, La, don, take, E, Love, brother, would, Young"
blocks.1.ff_or_moe,92,"from, at, by, during, after, service, a, ,, to, en"
blocks.1.ff_or_moe,93,"through, boat, directly, down, near, toward, home, north, towards, party"
blocks.1.ff_or_moe,94,"ed, min, ically, ous, ing, stein, t, net, men, mi"
blocks.1.ff_or_moe,95,"a, its, home, their, from, there, the, via, close, this"
blocks.1.ff_or_moe,96,"much, well, large, strong, far, old, very, badly, hard, significant"
blocks.1.ff_or_moe,97,"well, opposed, soon, indicated, best, long, part, First, though, quickly"
blocks.1.ff_or_moe,98,"when, shortly, she, however, he, after, 000, there, during, where"
blocks.1.ff_or_moe,99,"ten, three, five, 30, due, former, ;, 20, up, four"
blocks.1.ff_or_moe,100,"need, zy, proclaimed, McDonald, Pear, Express, cord, loaded, thers, intense"
blocks.1.ff_or_moe,101,"rank, den, ren, red, sk, end, b, ine, reg, hot"
blocks.1.ff_or_moe,102,"ch, y, cher, k, dry, fall, ler, Ch, then, music"
blocks.1.ff_or_moe,103,"even, no, bid, tr, bs, any, man, ium, ping, iel"
blocks.1.ff_or_moe,104,"less, still, gap, is, ily, ur, situation, role, wan, now"
blocks.1.ff_or_moe,105,"ul, id, op, pressed, et, oral, ho, iron, rap, ole"
blocks.1.ff_or_moe,106,"Ar, g, Ad, Am, mod, bi, w, Ser, mon, passing"
blocks.1.ff_or_moe,107,"stand, th, fire, national, goals, Royal, Wing, Grand, ap, finished"
blocks.1.ff_or_moe,108,"teams, them, roy, additional, accompanying, leads, mainly, significant, ker, him"
blocks.1.ff_or_moe,109,"remaining, six, seven, five, book, eight, three, nine, 7, elder"
blocks.1.ff_or_moe,110,"but, although, resulting, though, while, which, however, and, meaning, who"
blocks.1.ff_or_moe,111,"., significant, major, due, author, substantial, denies, without, World, Sky"
blocks.1.ff_or_moe,112,"consequently, George, however, hence, nevertheless, therefore, thus, although, accordingly, similarly"
blocks.1.ff_or_moe,113,"part, advantage, things, place, ths, gen, Air, coming, root, control"
blocks.1.ff_or_moe,114,"exclusive, ram, left, character, center, Has, victim, student, pher, weight"
blocks.1.ff_or_moe,115,"cover, become, attack, make, join, begin, reach, comp, wear, build"
blocks.1.ff_or_moe,116,"Mis, main, Pe, 1946, Bul, lean, proven, sel, mon, minor"
blocks.1.ff_or_moe,117,"sort, slight, degree, claim, assistance, parts, natural, amount, amounts, tre"
blocks.1.ff_or_moe,118,"—, face, Mac, which, Clark, Madison, Green, 12, phrase, –"
blocks.1.ff_or_moe,119,"grass, Kennedy, year, jump, Barnes, heads, Gl, White, arrow, National"
blocks.1.ff_or_moe,120,"for, upon, into, "", by, ', at, it, up, in"
blocks.1.ff_or_moe,121,"account, offer, 18, 11, average, active, occasion, important, October, alternate"
blocks.1.ff_or_moe,122,"York, yn, Tour, market, borough, 52, many, celebration, Dal, pace"
blocks.1.ff_or_moe,123,"significant, powerful, large, series, means, member, pair, Q, considerable, slightly"
blocks.1.ff_or_moe,124,"were, ;, such, —, throughout, involved, already, during, hoe, beyond"
blocks.1.ff_or_moe,125,"other, has, become, MC, had, failure, been, have, contemporary, led"
blocks.1.ff_or_moe,126,"related, room, television, foot, style, focused, sharing, campaign, jokes, regarding"
blocks.1.ff_or_moe,127,"chance, means, members, then, air, telephone, three, episode, saying, night"
blocks.2.ff_or_moe,0,"99, same, main, types, latter, 93, combined, depart, si, pair"
