expert_id,total_tokens_routed,unique_tokens_routed,top_50_tokens,top50_mass_pct,vocab_entropy,human_purity_score,human_category_label,human_syntactic_or_semantic,gemini_purity_score,gemini_category_label,gemini_syntactic_or_semantic,codex_purity_score,codex_category_label,codex_syntactic_or_semantic,opus_purity_score,opus_category_label,opus_syntactic_or_semantic
E000,58159,968,consisted(1.89); none(1.89); hundreds(1.89); portions(1.89); reminiscent(1.89); extent(1.89); moments(1.89); persons(1.89); amounts(1.89); anybody(1.89); thousands(1.89); consisting(1.89); deaths(1.89); anything(1.89); anywhere(1.89); those(1.89); [PAD](1.89); someone(1.70); anyone(1.63); %(1.60); parts(1.57); ones(1.57); onies(1.57); veterans(1.47); households(1.47); 232(1.47); number(1.47); pair(1.43); Also(1.43); scenes(1.42); remainder(1.40); victims(1.40); elements(1.36); terms(1.35); aims(1.30); individuals(1.30); couple(1.30); sections(1.30); members(1.27); things(1.24); allegations(1.21); children(1.19); residents(1.19); people(1.15); amount(1.15); olds(1.15); prisoners(1.15); 900(1.15); Much(1.15); reports(1.11),96.2,0.468,,,,8,quantifiers/amounts,semantic,5,quantity nouns,mixed,4,quantifiers/plural nouns,mixed
E001,2317,559,"""[(6.54); [(6.54); Where(6.46); want(6.24); What(6.22); think(6.07); And(6.05); didn(5.95); Like(5.80); Just(5.80); If(5.80); till(5.80); know(5.76); got(5.69); Off(5.66); Through(5.63); like(5.62); love(5.54); But(5.45); give(5.28); don(5.25); ""...(5.22); speak(5.12); say(5.12); tell(5.12); doing(5.08); see(5.02); done(4.95); ...(4.90); toward(4.80); pay(4.80); kill(4.80); thought(4.76); things(4.66); watch(4.66); what(4.63); how(4.59); do(4.54); call(4.54); put(4.54); make(4.45); me(4.34); if(4.34); oo(4.28); help(4.22); does(4.22); fact(4.22); just(4.20); than(4.09); wanted(4.08)",16.1,5.070,,,,7,dialogue/emotional,semantic,6,dialogue words,syntactic,6,informal/colloquial verbs,semantic
E002,1184,71,distant(7.09); hard(6.51); The(5.17); eastern(4.09); its(4.03); the(3.90); an(1.90); their(1.86); this(1.57); a(1.13); s(0.67); -(0.52); of(-2.88),94.6,1.414,,,,4,determiners/adjectives,mixed,2,mixed/unclear,mixed,4,adjectives/determiners,mixed
E003,2967,313,"informing(6.18); prompting(6.18); tells(6.18); According(6.13); tell(5.99); Among(5.96); told(5.96); prompted(5.92); starring(5.77); echoed(5.77); telling(5.77); alongside(5.68); according(5.68); asked(5.50); accused(5.45); convinced(5.45); Like(5.45); criticized(5.38); "";(5.38); praised(5.26); among(5.23); rejected(5.18); Under(5.18); invited(5.18); cited(5.01); warned(4.96); by(4.94); honor(4.92); despite(4.86); met(4.86); join(4.77); bing(4.77); With(4.69); leading(4.60); what(4.60); though(4.47); impressed(4.45); featuring(4.45); accompanied(4.45); producer(4.45); For(4.38); ,""(4.35); led(4.30); Both(4.28); following(4.26); described(4.22); because(4.12); with(4.12); including(4.00); Through(3.86)",31.5,3.804,,,,9,reporting/attribution,semantic,7,reporting verbs,semantic,6,attribution/alongside,syntactic
E004,3881,90,"might(5.33); would(5.31); will(5.21); could(5.17); but(5.07); And(4.99); To(4.97); should(4.93); may(4.93); cannot(4.79); and(4.78); while(4.69); can(4.63); must(4.63); helped(4.63); to(4.23); yet(4.06); did(3.95); or(3.89); does(3.89); even(3.34); not(3.31); d(2.91); then(2.91); rather(2.86); than(2.86); t(2.72); although(2.36); began(2.32); also(1.73); They(1.68); so(1.40); ;(1.19); as(1.16); before(0.77); only(0.70); ""(-0.25); has(-0.26); was(-1.04); ,(-1.31); had(-1.61); is(-1.85); with(-1.98); that(-2.53); of(-4.60)",98.6,1.886,,,,10,modal verbs,syntactic,9,modals,syntactic,7,modal/auxiliary verbs,syntactic
E005,1886,94,"or(5.11); yet(5.10); relatively(5.07); largely(4.96); /(4.85); and(4.78); slightly(4.33); more(4.29); mostly(3.84); very(3.59); ly(3.33); ,(3.19); but(3.09); ),(3.05); than(2.58); most(2.12); New(2.06); ""(1.68); while(1.31); ;(1.23); is(0.93); ((0.90); to(0.73); –(0.72); -(0.62); an(0.58); with(-0.36); as(-0.50); of(-1.82); '(-1.94); the(-4.29)",95.8,1.873,,,,9,adverbs/conjunctions,syntactic,8,connectives/scope,syntactic,5,degree adverbs/comparison,syntactic
E006,4836,1258,Jo(5.48); Brit(5.48); mead(5.48); Tik(5.48); Ign(5.48); Lom(5.48); Kok(5.48); MacL(5.48); Zam(5.48); Kaw(5.48); Vand(5.48); Lah(5.48); Wigg(5.48); Col(5.48); Ad(5.48); Pr(5.48); Par(5.48); Mus(5.48); Gand(5.48); eyew(5.48); Jas(5.48); McN(5.48); Chak(5.48); Rut(5.48); Sch(5.48); Mal(5.48); Hol(5.48); Mor(5.48); Mac(5.48); Mil(5.48); Pal(5.48); Ke(5.48); ny(5.48); Fle(5.48); Ir(5.48); Bal(5.48); Cro(5.48); Mat(5.48); Ot(5.48); Lamb(5.48); Hind(5.48); Aqu(5.48); Shir(5.48); Cav(5.48); Hes(5.48); Mull(5.48); Butter(5.48); Cly(5.48); Sah(5.48); Miz(5.48),7.8,6.309,,,,10,name fragments,syntactic,8,name fragments,syntactic,2,capitalized prefixes,mixed
E007,1605,86,Dr(7.07); Tr(7.07); Gr(7.07); Br(7.07); Ch(7.07); St(7.07); L(7.05); H(7.04); P(6.96); N(6.96); Th(6.93); Kr(6.92); D(6.88); W(6.86); R(6.85); J(6.73); M(6.71); G(6.69); K(6.63); B(6.61); S(6.54); Sh(6.52); C(6.45); T(6.40); V(6.28); Cl(6.22); Be(6.22); F(5.93); Q(5.93); Ste(5.90); Mc(5.88); Bl(5.85); E(5.67); Y(5.65); McC(5.52); gr(5.48); c(5.19); Z(5.09); Mr(5.07); Bo(5.00); De(4.42); f(4.32); d(4.18); l(4.10); p(3.82); st(3.44); b(3.16); h(2.63); U(2.53); A(1.80),96.8,3.518,,,,10,initials/fragments,syntactic,10,initial clusters,syntactic,8,capital letters/initials,syntactic
E008,2166,379,"reclassified(6.64); Historian(6.64); CEO(6.64); USS(6.64); entitled(6.64); website(6.64); albums(6.64); HMS(6.64); titled(6.47); ″(6.44); renamed(6.37); cruiser(6.37); memoirs(6.31); According(6.29); HMAS(6.27); founded(6.27); editor(6.22); drama(6.05); frigate(5.96); destroyer(5.90); ür(5.90); firm(5.90); producer(5.90); signature(5.86); designated(5.76); Operation(5.76); intersects(5.74); (""(5.64); artist(5.64); programme(5.64); publication(5.64); 1st(5.52); 3rd(5.52); submarine(5.50); album(5.40); according(5.36); named(5.35); sequel(5.22); called(5.16); Admiral(5.05); frigates(5.05); newspaper(5.05); published(4.98); include(4.95); 2nd(4.87); &(4.76); novel(4.76); name(4.75); films(4.64); film(4.52)",16.5,4.385,,,,9,titles/identifiers,semantic,7,naming/titles,semantic,6,titled/named entities,mixed
E009,225,48,Robert(8.90); Best(8.90); champion(8.68); John(7.06); northern(6.06); ).(5.98); between(4.28); of(3.57); .(3.45); The(3.35); with(1.71); to(0.92); the(-0.22),80.0,2.770,,,,5,names/awards,mixed,3,mixed/unclear,mixed,3,mixed proper nouns,mixed
E010,1699,1115,smooth(6.99); manga(6.72); hiking(6.57); funny(6.57); anime(6.50); engineers(6.50); ammunition(6.40); Period(6.31); stronger(6.25); exit(6.25); demographic(6.25); cruisers(6.25); colour(6.18); dead(6.14); fields(6.14); wounded(6.12); arms(6.11); flat(5.99); wreckage(5.99); azy(5.99); hy(5.99); books(5.82); ids(5.82); rocks(5.82); trees(5.76); rifle(5.76); fishing(5.76); food(5.72); artillery(5.66); winds(5.57); shallow(5.57); volunteers(5.57); better(5.53); roads(5.53); brown(5.53); aggressive(5.40); drums(5.40); buildings(5.40); battleships(5.40); wide(5.40); houses(5.29); capital(5.25); killed(5.24); successful(5.13); entrance(5.11); weapons(5.08); thick(5.06); engine(4.99); slow(4.99); fun(4.99),14.1,6.808,,,,3,mixed nouns/adj,mixed,2,mixed/unclear,mixed,4,mixed adjectives/nouns,mixed
E011,2437,389,Zh(6.47); NZ(6.47); Chak(6.47); Chi(6.47); Pap(6.47); Sn(6.47); sn(6.47); Ka(6.47); Sch(6.47); Z(6.47); Ch(6.47); Tw(6.47); Sc(6.47); def(6.47); Gu(6.47); ref(6.47); deb(6.47); Bu(6.47); Ho(6.47); Po(6.47); Ru(6.47); Ta(6.47); CH(6.47); Kw(6.47); Qu(6.47); Bo(6.47); sch(6.47); Ph(6.47); Co(6.47); Sp(6.47); Gr(6.47); thr(6.47); Sh(6.47); Th(6.47); Kn(6.47); Wa(6.47); Cab(6.47); Bh(6.47); Mas(6.47); spr(6.47); Rh(6.47); sh(6.47); cont(6.47); McC(6.43); Y(6.43); Hu(6.42); N(6.40); comm(6.39); Sw(6.37); amb(6.37),33.3,4.938,,,,10,subword fragments,syntactic,9,subword onsets,syntactic,2,word-initial bigrams,syntactic
E012,1194,124,"what(7.43); who(7.32); That(7.30); which(7.22); whom(7.17); What(6.76); that(6.01); officially(5.91); eventually(5.17); It(4.89); This(3.50); also(3.33); only(3.20); just(3.04); she(2.87); later(2.78); it(2.59); this(2.56); would(2.00); he(1.44); first(1.21); ""(1.21); had(1.09); as(0.16); '(-1.28); to(-1.48); ,(-1.93); and(-2.80)",90.5,2.507,,,,9,relative pronouns,syntactic,9,wh-pronouns,syntactic,7,relative pronouns,syntactic
E013,3541,1379,nominations(5.93); touchdowns(5.93); participating(5.93); cameo(5.93); Described(5.93); tackles(5.93); shortly(5.93); fullback(5.93); sacrificed(5.93); reclassified(5.93); concern(5.93); Shortly(5.93); arrested(5.93); ull(5.93); starred(5.79); convicted(5.70); appears(5.66); catches(5.66); died(5.62); reviews(5.61); dismantled(5.61); appearing(5.61); occur(5.61); yards(5.60); resulted(5.54); appeared(5.53); ranging(5.51); participated(5.51); augmented(5.51); peaked(5.51); losses(5.51); bombed(5.51); testify(5.51); receptions(5.51); occurs(5.51); forests(5.51); involved(5.49); located(5.44); released(5.41); resulting(5.40); rating(5.34); touchdown(5.34); difficulties(5.34); lanes(5.34); appear(5.34); filmed(5.34); injuries(5.34); victories(5.34); installed(5.34); indicted(5.34),11.5,6.646,,,,7,sports/achievements,semantic,6,event verbs,syntactic,5,mixed events/results,mixed
E014,3785,58,"'.""(5.83); ...""(5.83); ?""(5.83); .""(5.78); "".(5.66); .)(5.57); '.(5.42); .(5.12); !.(4.98); ).(4.84); :(3.64); Route(1.24); 5(1.17); ((0.48); ,(-1.53); ""(-2.14)",98.7,0.767,,,,10,punctuation,syntactic,10,punctuation,syntactic,7,sentence-end punctuation,syntactic
E015,2081,601,Beers(6.69); atsu(6.69); Guatemal(6.69); imo(6.69); ivo(6.69); eral(6.69); ny(6.69); ault(6.69); oul(6.69); vor(6.69); avig(6.69); rome(6.69); rik(6.69); ou(6.69); iv(6.69); ot(6.55); ude(6.47); ne(6.47); ose(6.45); om(6.43); raw(6.37); ave(6.37); é(6.28); aver(6.28); NA(6.28); amped(6.28); origin(6.25); á(6.23); tri(6.21); gan(6.21); ol(6.19); aga(6.11); gas(6.11); ur(6.11); í(6.11); oc(6.11); ug(6.11); ore(6.04); gri(5.99); ax(5.99); au(5.97); Prote(5.96); ut(5.96); amer(5.96); rif(5.96); ure(5.93); ung(5.92); ok(5.92); ce(5.89); ā(5.85),22.9,5.812,,,,10,suffixes/fragments,syntactic,2,subword fragments,syntactic,2,subword fragments,syntactic
E016,788,144,"defeating(8.10); resented(7.68); inning(7.68); !.(7.51); ""[(7.29); champion(7.29); defeated(6.77); beat(6.68); cost(5.98); between(5.59); defeat(5.51); ,""(5.45); Robert(5.36); upon(5.22); [(5.14); before(4.88); attacked(4.59); against(4.57); after(4.43); along(4.31); by(4.29); under(3.89); After(3.72); over(3.36); on(3.34); ).(3.32); while(3.31); when(3.26); with(3.12); for(2.75); .(2.74); .""(2.66); ((2.28); from(2.07); ""(2.05); which(2.03); to(1.74); of(1.73); at(1.49); that(1.19); ,(0.59); in(0.22); and(-0.20)",85.2,3.792,,,,8,competition/conflict,semantic,6,competition/combat,mixed,5,competition/defeating,mixed
E017,2239,122,"would(6.59); could(6.59); cannot(6.59); should(6.51); might(6.51); can(6.47); will(6.46); must(6.42); may(6.33); temporarily(6.17); To(6.15); easily(5.59); to(5.46); not(5.20); either(4.85); did(4.85); t(4.74); really(4.59); likely(4.37); does(4.27); help(4.27); never(3.70); rather(3.65); dis(3.32); ex(3.22); re(3.21); you(3.04); still(2.65); also(2.08); only(1.81); ""(1.00); they(1.00); or(0.93); and(-0.16); -(-0.72); ,(-4.58)",95.4,1.930,,,,9,modals/negation,syntactic,9,modals,syntactic,8,modal verbs,syntactic
E018,2176,126,"every(6.43); another(5.69); no(5.64); any(5.38); That(5.21); this(5.18); my(5.16); next(5.12); fifth(5.04); This(4.85); a(4.79); No(4.74); One(4.68); very(4.38); an(4.28); previous(4.20); relatively(4.13); per(4.04); Another(3.97); A(3.84); good(3.69); each(3.46); only(3.44); An(3.40); own(3.38); same(3.34); main(3.22); further(3.04); last(2.99); its(2.95); the(2.80); final(2.57); such(2.38); second(2.34); first(2.22); The(1.92); new(1.72); s(1.60); one(1.21); other(1.12); his(1.00); ""(0.92); that(0.53); their(0.40); '(-0.92); -(-1.09); ((-1.30); to(-1.93); of(-3.02)",95.8,2.507,,,,10,determiners/quantifiers,syntactic,8,determiners,syntactic,6,determiners/articles,syntactic
E019,2064,448,Easy(6.71); Artillery(6.29); knots(6.29); Up(6.29); ails(6.29); rones(6.12); Infantry(5.92); Tree(5.71); Guinea(5.71); People(5.71); Iraq(5.71); Ringo(5.71); Confessions(5.71); atives(5.71); Gold(5.29); Māori(5.20); Gulf(5.12); awi(5.12); sailors(5.12); Boys(5.12); ars(4.97); Beatles(4.97); Ocean(4.97); sons(4.90); abs(4.86); Mart(4.71); es(4.69); Zimbabwe(4.59); ab(4.44); Vietnam(4.38); les(4.31); 6th(4.20); ers(4.06); ans(4.04); Department(3.83); ry(3.83); Africa(3.83); ways(3.77); logists(3.75); oo(3.71); ts(3.71); al(3.71); World(3.68); Josephine(3.65); University(3.58); Australia(3.44); Burma(3.34); players(3.25); Japan(3.16); aru(3.09),13.9,2.817,,,,6,military/geography,semantic,2,mixed/unclear,mixed,3,mixed suffixes/nouns,mixed
E020,5231,514,wounding(5.36); obey(5.36); overthrow(5.36); relieve(5.36); Lieutenant(5.36); comprised(5.14); commanding(5.14); aboard(5.10); amongst(4.95); encountered(4.95); plus(4.95); forcing(4.95); comprising(4.95); join(4.95); escorted(4.88); Following(4.80); commanded(4.78); destroying(4.78); Under(4.78); Of(4.78); Given(4.78); Major(4.69); accused(4.63); convinced(4.63); prompting(4.63); instructed(4.63); ordered(4.63); under(4.61); Admiral(4.59); carrying(4.59); supporting(4.56); involving(4.56); meets(4.56); With(4.50); alongside(4.48); Colonel(4.46); by(4.44); included(4.43); assist(4.36); prompted(4.36); facing(4.36); replace(4.36); killing(4.36); including(4.30); joined(4.26); although(4.25); against(4.23); capturing(4.19); founded(4.19); approached(4.14),18.7,3.951,,,,9,military actions,semantic,8,military actions,semantic,5,military/commanding,mixed
E021,2912,200,"vast(5.79); considerable(5.53); overall(5.51); its(5.50); Its(5.40); respective(5.21); whose(5.07); Aboriginal(4.99); their(4.83); additional(4.72); any(4.70); significant(4.46); Other(4.40); no(4.39); financial(4.33); economic(4.33); surrounding(4.30); entire(4.30); some(4.22); combined(4.21); total(4.00); s(3.93); the(3.82); own(3.77); our(3.75); little(3.33); few(3.07); Spanish(2.96); his(2.96); these(2.90); other(2.81); much(2.80); more(2.66); Australian(2.34); further(2.30); most(2.30); The(2.26); same(2.18); main(2.07); former(2.01); many(1.62); an(1.60); this(1.59); her(1.53); Japanese(1.35); British(0.77); '(0.44); -(-0.64); and(-1.58); ""(-2.08)",93.3,2.181,,,,8,scale/scope adj,semantic,7,quantifier adjectives,syntactic,5,adjectives/determiners,mixed
E022,2866,250,ologically(6.23); pretty(6.23); seemed(6.23); seems(6.13); clearly(5.97); ably(5.97); quite(5.91); proved(5.72); is(5.68); perhaps(5.42); are(5.40); very(5.38); becomes(5.36); considered(5.28); be(5.27); apparently(5.23); deemed(5.23); look(5.23); almost(5.09); been(5.07); nearly(5.01); always(5.01); remains(4.85); something(4.82); was(4.79); not(4.71); become(4.65); bit(4.65); longer(4.65); were(4.62); really(4.55); remain(4.53); just(4.51); never(4.48); became(4.44); probably(4.42); actually(4.33); being(4.28); too(4.27); becoming(4.23); get(4.04); still(4.03); likely(4.01); remained(3.75); slightly(3.73); originally(3.69); now(3.59); felt(3.59); as(3.58); even(3.51),75.6,3.455,,,,10,appearance/certainty,semantic,8,hedge adverbs,syntactic,7,copula/state verbs,syntactic
E023,3516,1481,integration(5.94); navy(5.94); corps(5.94); boards(5.67); stocks(5.65); contribution(5.62); sessions(5.62); Appeals(5.62); crisis(5.62); pattern(5.52); treaty(5.52); Officials(5.52); fixture(5.52); remnants(5.45); detachment(5.35); PPV(5.35); fleet(5.31); jury(5.29); convoy(5.26); sequel(5.26); bombers(5.26); designation(5.26); earth(5.26); armies(5.20); concept(5.20); wheel(5.20); proceedings(5.20); tourists(5.20); whites(5.20); shortages(5.20); warfare(5.16); army(5.13); invasions(5.13); Plans(5.13); expedition(5.13); appeal(5.09); stock(5.04); rains(4.94); massacre(4.94); essay(4.94); alignment(4.94); colonies(4.94); armament(4.94); aims(4.94); combination(4.94); column(4.94); tank(4.94); window(4.94); resources(4.94); helicopter(4.94),6.8,6.835,,,,8,institutional nouns,semantic,3,mixed/unclear,mixed,6,collective/military nouns,mixed
E024,1921,1198,Easy(6.81); Help(6.81); Name(6.81); Streets(6.81); Up(6.81); outh(6.81); oo(6.75); Back(6.65); Off(6.44); Years(6.39); Performance(6.39); Come(6.39); ope(6.39); Age(6.39); Exit(6.35); Story(6.32); Blues(6.22); Gold(6.13); Baby(6.07); filters(6.07); opener(6.07); Good(5.81); Have(5.81); You(5.81); ame(5.81); Time(5.69); Race(5.67); Old(5.64); ry(5.60); God(5.59); dark(5.59); Golden(5.59); Mart(5.49); Through(5.49); Ringo(5.39); roll(5.22); ping(5.22); ism(5.03); lot(4.94); su(4.81); Day(4.81); fun(4.81); sound(4.81); Edge(4.69); pop(4.69); Music(4.59); guitar(4.56); rock(4.55); comedy(4.49); view(4.39),15.9,6.776,,,,7,music/titles,semantic,5,title words,mixed,5,titles/entertainment,mixed
E025,2054,78,"2004(5.71); 1981(5.49); Its(5.49); the(4.21); The(3.92); 2011(3.76); 2006(3.60); its(3.10); 2010(2.91); s(2.70); same(2.68); her(2.40); this(2.36); an(1.55); his(1.35); their(1.07); ""(0.12); -(-0.42); a(-0.71); '(-1.06)",96.9,1.146,,,,6,years/determiners,mixed,4,years/determiners,mixed,3,years/determiners,mixed
E026,1506,94,"via(5.16); of(4.65); for(4.35); With(4.21); Although(3.84); towards(3.25); -(2.71); ""(2.65); with(2.63); about(2.62); by(2.58); As(2.18); /(2.18); before(2.14); on(2.04); between(1.95); to(1.86); against(1.64); when(1.59); or(1.50); over(1.43); as(1.33); its(1.16); from(1.13); in(1.01); ((0.96); that(0.96); into(0.89); In(0.73); ,(0.58); which(0.51); and(0.23); an(-0.32); the(-0.61); at(-0.66); s(-0.68); '(-0.87); The(-1.30)",95.8,2.433,,,,10,prepositions,syntactic,10,prepositions,syntactic,3,mixed prepositions,syntactic
E027,2637,947,examining(6.35); constitute(6.35); pleaded(6.35); upheld(6.35); testified(6.35); Given(6.35); ensured(6.35); adds(6.35); appealed(6.35); realize(6.35); demanding(6.35); maintaining(6.35); hoping(6.35); asserted(6.35); possessed(6.35); considering(6.35); advised(6.35); suggesting(6.35); hoped(6.35); ensure(6.35); determine(6.35); requested(6.35); assumed(6.35); learn(6.35); prove(6.35); discovers(6.35); demanded(6.35); confess(6.35); insisted(6.35); realized(6.35); seeing(6.35); achieve(6.35); argued(6.35); showing(6.35); secure(6.35); recommended(6.35); finding(6.35); expressed(6.35); accept(6.35); noting(6.35); maintain(6.35); establish(6.35); discover(6.35); claimed(6.35); decided(6.30); agreed(6.27); showed(6.25); claiming(6.23); suggested(6.20); says(6.20),11.9,6.243,,,,10,legal/cognitive verbs,semantic,8,argument verbs,semantic,8,cognitive/speech verbs,semantic
E028,1233,417,"Beginning(7.45); charts(7.45); especially(7.09); yellow(7.03); mph(6.82); "")(6.71); effective(6.71); emphasis(6.45); brown(6.31); attention(6.31); gray(6.23); particularly(6.23); inches(6.07); Afghanistan(6.03); charge(6.03); responsibility(5.86); duties(5.86); mm(5.82); favor(5.71); )(5.67); Spain(5.57); Kingdom(5.45); rather(5.25); Iraq(5.19); control(5.08); miles(5.03); according(4.95); press(4.86); known(4.78); Africa(4.57); formed(4.50); built(4.47); %(4.40); Britain(4.40); boats(4.39); role(4.33); h(4.23); ""(4.19); such(4.01); even(3.99); south(3.97); ft(3.86); —(3.83); west(3.81); mi(3.75); command(3.57); feet(3.57); again(3.50); RAAF(3.48); north(3.41)",39.9,4.468,,,,5,measurements/descriptions,mixed,4,mixed/unclear,mixed,4,mixed adjectives/nouns,mixed
E029,2379,975,participating(6.50); jumping(6.50); enrolled(6.50); sitting(6.50); starring(6.50); engage(6.50); dressed(6.50); starred(6.50); operate(6.50); interested(6.50); operating(6.50); assisted(6.50); qualified(6.50); cing(6.50); operated(6.38); flying(6.38); participated(6.31); assist(6.24); scoring(6.24); operates(6.18); serving(6.14); write(6.09); ashing(6.09); raced(6.09); employing(6.09); ranging(6.09); stationed(6.09); wrapped(6.09); portrayed(6.09); casting(6.09); fought(6.04); advancing(6.02); living(6.02); resulted(6.00); accompanied(5.99); playing(5.98); resulting(5.97); commanded(5.92); stayed(5.92); competed(5.92); engaged(5.92); rushed(5.92); iting(5.92); involved(5.86); sing(5.82); deploy(5.82); performed(5.81); flew(5.76); starting(5.76); visiting(5.76),13.9,6.328,,,,10,participation verbs,semantic,9,verb forms,syntactic,7,participial verbs,syntactic
E030,3184,1371,Believe(6.08); blade(6.08); Name(6.08); Armoured(6.08); Offensive(6.08); Aviation(6.08); Committee(6.08); Rebellion(6.08); Soldier(6.08); Personnel(6.08); rones(6.08); Party(6.08); Society(6.08); Task(6.08); vation(6.08); Admiralty(6.08); Women(6.08); Heavyweight(6.08); Friends(6.08); Order(6.08); Bangladesh(6.08); Floor(6.08); Reconstruction(6.08); Settle(6.08); Confessions(6.08); Churches(6.08); Night(6.08); People(6.08); Story(6.08); Research(6.08); Justice(6.08); Operations(6.08); Fire(6.08); Cloud(6.08); Impact(6.08); Youth(6.08); Action(6.08); Family(6.08); Nations(6.08); Transport(6.08); Television(6.08); Files(6.08); Wrestling(6.08); Rights(6.08); Reserve(6.08); Performance(6.08); Register(6.08); Us(6.08); Symphony(6.08); Herald(6.08),8.3,6.781,,,,8,proper nouns,semantic,7,titlecase nouns,mixed,5,capitalized compound nouns,mixed
E031,958,125,"Have(7.81); Where(7.74); Are(7.55); &(7.52); Streets(7.49); Still(7.40); Can(7.40); Against(7.08); ll(6.81); !,(6.81); You(6.81); Come(6.40); Be(6.23); ...(4.75); :(4.48); With(4.44); t(4.32); and(4.21); or(4.16); John(3.97); I(3.91); It(3.32); .(3.05); ).(3.04); but(2.78); –(2.43); while(2.29); ""(2.05); with(1.84); )(1.43); of(1.16); by(0.38); to(0.34); on(0.33); for(0.08); ,(-0.03); '(-0.22); as(-0.52); in(-1.76); the(-3.31)",89.0,2.988,,,,5,mixed/dialogue,mixed,4,mixed/unclear,mixed,4,mixed punctuation/words,mixed
E032,1193,51,"...""(7.50); .'(7.50); [...](7.50); ?""(7.50); ""[(7.50); ...(7.31); ?(7.23); ""...(7.17); "")(7.17); !""(7.08); “(7.08); !(6.80); ""(6.65); ](6.15); [(5.71); )(5.09); ’(4.95); '(4.02); "",(3.19); .(2.11); .""(2.06); which(0.84); ((-0.44); ,(-1.44)",97.2,1.730,,,,10,nested punctuation,syntactic,10,quotes/punctuation,syntactic,7,quotation/punctuation,syntactic
E033,3495,438,examining(5.95); overthrow(5.95); involve(5.95); opposing(5.62); commit(5.46); promote(5.36); among(5.22); supported(5.21); ising(5.21); involving(5.14); supporting(5.14); improve(5.14); prevent(4.95); establishing(4.95); ize(4.72); address(4.72); ise(4.72); studied(4.72); against(4.70); lacked(4.53); adopted(4.53); ban(4.49); whether(4.36); represented(4.25); protect(4.25); for(4.24); towards(4.15); allow(4.07); upon(4.07); forcing(3.95); about(3.95); without(3.83); employed(3.83); For(3.82); by(3.81); of(3.72); reduced(3.72); using(3.67); ate(3.55); between(3.49); with(3.48); within(3.44); include(3.41); under(3.32); allowed(3.28); including(3.27); support(3.26); Although(2.95); taking(2.95); that(2.91),56.2,3.702,,,,9,social action verbs,semantic,7,action verbs,syntactic,6,purpose/action verbs,syntactic
